id,room,old_x,old_y,new_x,new_y,w,h,active
furnace,workshop,154,794,154,794,130,195,True
craft_bench,workshop,157,1061,157,1061,260,173,True
medical_table,room4,145,300,145,300,245,78,True
medical_bed,room4,145,650,145,650,225,58,True
cabinet,room4,110,430,110,430,58,130,True
sink,room4,455,315,455,315,100,58,True
medical_crate1,room4,430,650,430,650,55,52,True
medical_crate2,room4,500,650,500,650,55,52,True
tank,room5,885,315,1855,-185,125,185,True
generator,room5,1052,315,2022,-185,130,195,True
battery,room5,1235,300,2205,-200,105,215,True
kitchen,room6,145,-205,145,-205,330,92,True
fridge,room6,110,-75,110,-75,72,165,True
dining,room6,225,135,225,135,190,70,True
shelf,room6,110,145,110,145,72,78,True
chair1,room6,245,110,245,110,42,22,True
chair2,room6,352,110,352,110,42,22,True
chair3,room6,245,208,245,208,42,22,True
chair4,room6,352,208,352,208,42,22,True
livestock,farm,53,-618,53,-618,50,56,False
chest0,storage,891,793,1861,793,68,50,True
chest1,storage,1006,793,1976,793,68,50,True
chest2,storage,1126,793,2096,793,68,50,True
chest3,storage,1241,793,2211,793,68,50,True
chest4,storage,891,1177,1861,1177,68,50,True
chest5,storage,1006,1177,1976,1177,68,50,True
chest6,storage,1126,1177,2096,1177,68,50,True
chest7,storage,1241,1177,2211,1177,68,50,True
chest8,farm,151,-295,151,-295,68,50,False
chest9,farm,1231,-295,1231,-295,68,50,False
feed_craft,farm,227,-293,227,-293,56,46,False
garden_tank,farm,103,-889,103,-889,45,76,False
animal_cow,farm,-37,-884,-37,-884,20,163.68,False
animal_cowWater,farm,-37,-711.3199999999999,-37,-711.3199999999999,20,79.2,False
animal_chicken,farm,-122,-430,-122,-430,24,108,False
animal_chickenWater,farm,-122,-500,-122,-500,24,54,False
wardrobe,room7,885,-205,995,1295,155,64,True
nightstand,room7,1110,-195,1220,1305,58,58,True
bed,room7,1232,-205,1342,1295,99,198,True
living_desk,room7,1190,116,1300,1616,145,105,True
living_chair,room7,1240,224,1350,1724,45,25,True
bath_wall1,room7,898,99,1008,1599,92,6,True
bath_wall3,room7,1068,99,1178,1599,69,6,True
bath_wall2,room7,1131,99,1241,1599,6,148,True
bath_wall4,room7,898,99,1008,1599,6,148,True
toilet,room7,1075,163,1185,1663,35,70,True
living_sink,room7,1083,117,1193,1617,36,29,True
shower_rim_n,room7,916,156,1026,1656,74,4,True
shower_rim_w,room7,916,160,1026,1660,4,78,True
shower_rim_s,room7,916,234,1026,1734,74,4,True
living_bath_door,room7,990,100,1100,1600,78,5,True
robots014_dock_body,room5,1197,657,2167,157,26,72,True
upgrade0161,workshop,443,794,443,794,139,110,True
