id,room,r1_x,r1_y,r2_x,r2_y,width,height
furnace,workshop,154,794,354,794,130,195
craft_bench,workshop,157,1061,357,1061,260,173
upgrade0161,workshop,443,794,643,794,139,110
medical_table,room4,145,300,345,300,245,78
medical_bed,room4,145,650,345,650,225,58
cabinet,room4,110,430,310,430,58,130
sink,room4,455,315,655,315,100,58
kitchen,room6,145,-205,345,-205,330,92
fridge,room6,110,-75,310,-75,72,165
dining,room6,225,135,425,135,190,70
tank,room5,1855,-185,1655,-185,125,185
generator,room5,2022,-185,1822,-185,130,195
battery,room5,2205,-200,2005,-200,105,215
robots014_dock,room5,2160,150,1960,150,148,86
bed,room7,1342,1295,1342,1295,99,198
shower,room7,1026,1656,1026,1656,74,82
chest0,storage,1861,793,1661,793,68,50
chest1,storage,1976,793,1776,793,68,50
chest2,storage,2096,793,1896,793,68,50
chest3,storage,2211,793,2011,793,68,50
chest4,storage,1861,1177,1661,1177,68,50
chest5,storage,1976,1177,1776,1177,68,50
chest6,storage,2096,1177,1896,1177,68,50
chest7,storage,2211,1177,2011,1177,68,50
